column,mean_diff,max_diff,std_diff,significant_count,total_count,significant_percentage
rdd1_dindx_77,-1.423038728897716,242,61.54446955956249,1007,1797,56.037840845854205
rdd1_dindx_76,0.19483101391650098,252,67.49106275508194,1006,1797,55.98219254312743
rdd1_dindx_74,3.3512974051896207,254,67.43938169132008,1002,1797,55.75959933222037
rdd1_dindx_75,1.1778221778221778,254,67.64873979355927,1001,1797,55.7039510294936
rdd1_dindx_167,-2.3196392785571143,254,76.2644055518595,998,1797,55.537006121313304
rdd1_dindx_168,-3.8002008032128516,254,77.04638747697942,996,1797,55.425709515859765
rdd1_dindx_169,-2.3653846153846154,254,71.35625890113803,988,1797,54.98052309404563
rdd1_dindx_73,1.7965412004069177,253,71.24746115117637,983,1797,54.70228158041179
rdd1_dindx_170,-1.1782077393075356,254,73.46826776421615,982,1797,54.646633277685034
rdd1_dindx_72,2.203268641470889,249,68.36978519507265,979,1797,54.47968836950473
rdd1_dindx_171,-3.4918200408997957,254,77.19001886800437,978,1797,54.42404006677797
rdd1_dindx_71,1.1787190082644627,254,68.69936964845162,968,1797,53.867557039510295
rdd1_dindx_172,-4.1338174273858925,253,73.08606120088004,964,1797,53.64496382860323
rdd1_dindx_70,-0.8822916666666667,255,69.72019747831277,960,1797,53.42237061769616
rdd1_dindx_68,-4.369519832985386,250,69.96750804199475,958,1797,53.311074012242635
rdd1_dindx_69,2.5908141962421714,253,70.85910038723196,958,1797,53.311074012242635
rdd1_dindx_173,-0.8178010471204189,253,74.01458960028513,955,1797,53.14412910406232
rdd1_dindx_174,-4.5472689075630255,255,72.46732002449609,952,1797,52.97718419588202
rdd1_dindx_67,0.12,252,71.75998239746308,950,1797,52.86588759042849
rdd1_dindx_175,-7.057264050901378,252,73.942605552891,943,1797,52.47634947134112
rdd1_dindx_66,-1.9382978723404256,253,75.82916424631259,940,1797,52.309404563160825
rdd1_dindx_176,-4.20042872454448,254,74.99758852735211,933,1797,51.919866444073456
rdd1_dindx_64,3.523605150214592,255,81.60237047837268,932,1797,51.86421814134668
