(np.float64(0.0), np.float64(0.0))
 : 106(np.float64(103.0), np.float64(153.0))
 : 107(np.float64(105.0), np.float64(147.0))
 : 108(np.float64(115.0), np.float64(117.0))
 : 109(np.float64(122.0), np.float64(93.0))
 : 110(np.float64(132.0), np.float64(63.0))
 : 111(np.float64(133.0), np.float64(58.0))
 : 112(np.float64(134.0), np.float64(226.0))
 : 113(np.float64(135.0), np.float64(54.0))
 : 114(np.float64(137.0), np.float64(48.0))
 : 115(np.float64(147.0), np.float64(16.0))
 : 116(np.float64(154.0), np.float64(250.0))
 : 117(np.float64(156.0), np.float64(244.0))
 : 118(np.float64(157.0), np.float64(243.0))
 : 119(np.float64(158.0), np.float64(238.0))
 : 120(np.float64(159.0), np.float64(151.0))
 : 121(np.float64(159.0), np.float64(235.0))
 : 122(np.float64(161.0), np.float64(231.0))
 : 123(np.float64(162.0), np.float64(227.0))
 : 124(np.float64(163.0), np.float64(224.0))
 : 125(np.float64(167.0), np.float64(213.0))
 : 126(np.float64(173.0), np.float64(193.0))
 : 127(np.float64(174.0), np.float64(190.0))
 : 128(np.float64(180.0), np.float64(173.0))
 : 129(np.float64(186.0), np.float64(153.0))
 : 130(np.float64(187.0), np.float64(64.0))
 : 131(np.float64(188.0), np.float64(147.0))
 : 132(np.float64(191.0), np.float64(140.0))
 : 133(np.float64(195.0), np.float64(127.0))
 : 134(np.float64(206.0), np.float64(127.0))
 : 135(np.float64(212.0), np.float64(74.0))
 : 136(np.float64(214.0), np.float64(69.0))
 : 137(np.float64(221.0), np.float64(83.0))
 : 138(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(7.0), np.float64(28.0))
 : 6(np.float64(8.0), np.float64(25.0))
 : 7(np.float64(8.0), np.float64(31.0))
 : 8(np.float64(8.0), np.float64(48.0))
 : 9(np.float64(8.0), np.float64(51.0))
 : 10(np.float64(8.0), np.float64(55.0))
 : 11(np.float64(8.0), np.float64(65.0))
 : 12(np.float64(9.0), np.float64(37.0))
 : 13(np.float64(10.0), np.float64(39.0))
 : 14(np.float64(10.0), np.float64(42.0))
 : 15(np.float64(10.0), np.float64(45.0))
 : 16(np.float64(10.0), np.float64(47.0))
 : 17(np.float64(10.0), np.float64(50.0))
 : 18(np.float64(11.0), np.float64(54.0))
 : 19(np.float64(11.0), np.float64(56.0))
 : 20(np.float64(12.0), np.float64(58.0))
 : 21(np.float64(13.0), np.float64(42.0))
 : 22(np.float64(15.0), np.float64(48.0))
 : 23(np.float64(16.0), np.float64(8.0))
 : 24(np.float64(16.0), np.float64(26.0))
 : 25(np.float64(16.0), np.float64(29.0))
 : 26(np.float64(19.0), np.float64(58.0))
 : 27(np.float64(19.0), np.float64(65.0))
 : 28(np.float64(19.0), np.float64(68.0))
 : 29(np.float64(19.0), np.float64(97.0))
 : 30(np.float64(20.0), np.float64(49.0))
 : 31(np.float64(23.0), np.float64(31.0))
 : 32(np.float64(24.0), np.float64(36.0))
 : 33(np.float64(25.0), np.float64(41.0))
 : 34(np.float64(25.0), np.float64(44.0))
 : 35(np.float64(26.0), np.float64(48.0))
 : 36(np.float64(26.0), np.float64(51.0))
 : 37(np.float64(29.0), np.float64(54.0))
 : 38(np.float64(30.0), np.float64(57.0))
 : 39(np.float64(30.0), np.float64(63.0))
 : 40(np.float64(30.0), np.float64(66.0))
 : 41(np.float64(31.0), np.float64(61.0))
 : 42(np.float64(31.0), np.float64(94.0))
 : 43(np.float64(33.0), np.float64(70.0))
 : 44(np.float64(39.0), np.float64(88.0))
 : 45(np.float64(41.0), np.float64(94.0))
 : 46(np.float64(42.0), np.float64(97.0))
 : 47(np.float64(42.0), np.float64(100.0))
 : 48(np.float64(44.0), np.float64(104.0))
 : 49(np.float64(45.0), np.float64(107.0))
 : 50(np.float64(46.0), np.float64(112.0))
 : 51(np.float64(47.0), np.float64(115.0))
 : 52(np.float64(48.0), np.float64(117.0))
 : 53(np.float64(48.0), np.float64(120.0))
 : 54(np.float64(48.0), np.float64(159.0))
 : 55(np.float64(49.0), np.float64(122.0))
 : 56(np.float64(51.0), np.float64(127.0))
 : 57(np.float64(51.0), np.float64(135.0))
 : 58(np.float64(53.0), np.float64(140.0))
 : 59(np.float64(54.0), np.float64(143.0))
 : 60(np.float64(55.0), np.float64(147.0))
 : 61(np.float64(56.0), np.float64(151.0))
 : 62(np.float64(58.0), np.float64(156.0))
 : 63(np.float64(59.0), np.float64(160.0))
 : 64(np.float64(60.0), np.float64(164.0))
 : 65(np.float64(63.0), np.float64(172.0))
 : 66(np.float64(65.0), np.float64(182.0))
 : 67(np.float64(67.0), np.float64(187.0))
 : 68(np.float64(68.0), np.float64(189.0))
 : 69(np.float64(69.0), np.float64(193.0))
 : 70(np.float64(70.0), np.float64(196.0))
 : 71(np.float64(71.0), np.float64(201.0))
 : 72(np.float64(72.0), np.float64(203.0))
 : 73(np.float64(73.0), np.float64(206.0))
 : 74(np.float64(76.0), np.float64(0.0))
 : 75(np.float64(77.0), np.float64(3.0))
 : 76(np.float64(77.0), np.float64(239.0))
 : 77(np.float64(77.0), np.float64(241.0))
 : 78(np.float64(78.0), np.float64(222.0))
 : 79(np.float64(80.0), np.float64(233.0))
 : 80(np.float64(81.0), np.float64(234.0))
 : 81(np.float64(81.0), np.float64(236.0))
 : 82(np.float64(84.0), np.float64(244.0))
 : 83(np.float64(85.0), np.float64(249.0))
 : 84(np.float64(86.0), np.float64(253.0))
 : 85(np.float64(87.0), np.float64(0.0))
 : 86(np.float64(88.0), np.float64(2.0))
 : 87(np.float64(89.0), np.float64(4.0))
 : 88(np.float64(89.0), np.float64(8.0))
 : 89(np.float64(90.0), np.float64(10.0))
